frame,track,u,v
0,0,None,None
0,1,None,None
0,2,None,None
0,3,None,None
0,4,None,None
1,0,None,None
1,1,None,None
1,2,None,None
1,3,None,None
1,4,76.73,161.35
2,0,None,None
2,1,None,None
2,2,None,None
2,3,None,None
2,4,76.8,160.69
3,0,None,None
3,1,None,None
3,2,None,None
3,3,None,None
3,4,12.52,161.95
4,0,None,None
4,1,None,None
4,2,None,None
4,3,None,None
4,4,104.18,179.0
5,0,None,None
5,1,None,None
5,2,None,None
5,3,None,None
5,4,102.72,176.39
6,0,None,None
6,1,None,None
6,2,None,None
6,3,None,None
6,4,102.98,174.37
7,0,None,None
7,1,None,None
7,2,None,None
7,3,None,None
7,4,101.75,173.67
8,0,None,None
8,1,None,None
8,2,None,None
8,3,None,None
8,4,106.91,174.11
9,0,None,None
9,1,None,None
9,2,None,None
9,3,None,None
9,4,99.01,173.24
10,0,None,None
10,1,None,None
10,2,None,None
10,3,None,None
10,4,105.0,176.87
11,0,None,None
11,1,None,None
11,2,None,None
11,3,None,None
11,4,None,None
12,0,None,None
12,1,None,None
12,2,None,None
12,3,None,None
12,4,None,None
13,0,None,None
13,1,None,None
13,2,None,None
13,3,None,None
13,4,None,None
14,0,None,None
14,1,None,None
14,2,None,None
14,3,None,None
14,4,None,None
15,0,None,None
15,1,None,None
15,2,None,None
15,3,None,None
15,4,None,None
16,0,None,None
16,1,None,None
16,2,None,None
16,3,None,None
16,4,None,None
17,0,None,None
17,1,None,None
17,2,None,None
17,3,None,None
17,4,None,None
18,0,164.1,187.41
18,1,9.73,162.76
18,2,None,None
18,3,None,None
18,4,None,None
19,0,164.23,187.23
19,1,8.96,163.07
19,2,None,None
19,3,None,None
19,4,None,None
20,0,164.44,186.68
20,1,13.17,161.38
20,2,None,None
20,3,None,None
20,4,None,None
21,0,17.07,160.58
21,1,169.27,186.59
21,2,None,None
21,3,None,None
21,4,None,None
22,0,None,None
22,1,18.42,160.39
22,2,None,None
22,3,None,None
22,4,None,None
23,0,None,None
23,1,51.97,162.95
23,2,None,None
23,3,None,None
23,4,None,None
24,0,None,None
24,1,125.98,168.05
24,2,None,None
24,3,None,None
24,4,None,None
25,0,None,None
25,1,140.29,168.51
25,2,None,None
25,3,None,None
25,4,None,None
26,0,None,None
26,1,155.38,167.35
26,2,None,None
26,3,None,None
26,4,None,None
27,0,None,None
27,1,None,None
27,2,None,None
27,3,None,None
27,4,168.38,167.25
28,0,None,None
28,1,None,None
28,2,None,None
28,3,None,None
28,4,182.83,167.39
29,0,None,None
29,1,None,None
29,2,None,None
29,3,None,None
29,4,None,None
30,0,None,None
30,1,None,None
30,2,None,None
30,3,None,None
30,4,None,None
31,0,None,None
31,1,None,None
31,2,None,None
31,3,142.46,166.67
31,4,None,None
32,0,None,None
32,1,None,None
32,2,None,None
32,3,141.95,167.36
32,4,None,None
33,0,None,None
33,1,None,None
33,2,None,None
33,3,None,None
33,4,214.89,168.09
34,0,None,None
34,1,None,None
34,2,None,None
34,3,None,None
34,4,None,None
35,0,None,None
35,1,None,None
35,2,131.06,167.14
35,3,None,None
35,4,None,None
36,0,None,None
36,1,None,None
36,2,130.09,167.58
36,3,None,None
36,4,None,None
